     Index,            Real component,       Imaginary component,                 Magnitude
       130,    -4.517711162028288e+06,     0.000000000000000e+00,     4.517711162028288e+06
       131,    -4.589711609942966e+06,     0.000000000000000e+00,     4.589711609942966e+06
       132,    -4.446659300938997e+06,     0.000000000000000e+00,     4.446659300938997e+06
       133,    -4.307361796902237e+06,     0.000000000000000e+00,     4.307361796902237e+06
       134,    -4.376546122985804e+06,     0.000000000000000e+00,     4.376546122985804e+06
       135,    -4.239096563609169e+06,     0.000000000000000e+00,     4.239096563609169e+06
       136,    -4.171740735978182e+06,     0.000000000000000e+00,     4.171740735978182e+06
       137,    -4.105284698592906e+06,     0.000000000000000e+00,     4.105284698592906e+06
       138,    -4.039718907508352e+06,     0.000000000000000e+00,     4.039718907508352e+06
       139,    -3.975033890010799e+06,     0.000000000000000e+00,     3.975033890010799e+06
       140,    -3.848268639621082e+06,     0.000000000000000e+00,     3.848268639621082e+06
       141,    -3.911220244375273e+06,     0.000000000000000e+00,     3.911220244375273e+06
       142,    -3.786169815266883e+06,     0.000000000000000e+00,     3.786169815266883e+06
       143,    -3.664493816854571e+06,     0.000000000000000e+00,     3.664493816854571e+06
       144,    -3.724914581085279e+06,     0.000000000000000e+00,     3.724914581085279e+06
       145,    -3.604898472109432e+06,     0.000000000000000e+00,     3.604898472109432e+06
       146,    -3.488148186500113e+06,     0.000000000000000e+00,     3.488148186500113e+06
       147,    -3.546119565891890e+06,     0.000000000000000e+00,     3.546119565891890e+06
       148,    -3.430975491234774e+06,     0.000000000000000e+00,     3.430975491234774e+06
       149,    -3.318991125779789e+06,     0.000000000000000e+00,     3.318991125779789e+06
       150,    -3.374592706146179e+06,     0.000000000000000e+00,     3.374592706146179e+06
       151,    -3.264162112919616e+06,     0.000000000000000e+00,     3.264162112919616e+06
       152,    -3.156787580500402e+06,     0.000000000000000e+00,     3.156787580500402e+06
       153,    -3.210097098330386e+06,     0.000000000000000e+00,     3.210097098330386e+06
       154,    -3.104225125381663e+06,     0.000000000000000e+00,     3.104225125381663e+06
       155,    -3.052401366128126e+06,     0.000000000000000e+00,     3.052401366128126e+06
       156,    -3.001308002834855e+06,     0.000000000000000e+00,     3.001308002834855e+06
       157,    -2.950936802275755e+06,     0.000000000000000e+00,     2.950936802275755e+06
       158,    -2.901279597638220e+06,     0.000000000000000e+00,     2.901279597638220e+06
       159,    -2.852328288258341e+06,     0.000000000000000e+00,     2.852328288258341e+06
       160,    -2.804074839356038e+06,     0.000000000000000e+00,     2.804074839356038e+06
       161,    -2.756511281766972e+06,     0.000000000000000e+00,     2.756511281766972e+06
       162,    -2.709629711673747e+06,     0.000000000000000e+00,     2.709629711673747e+06
       163,    -2.663422290337909e+06,     0.000000000000000e+00,     2.663422290337909e+06
       164,    -2.617881243829798e+06,     0.000000000000000e+00,     2.617881243829798e+06
       165,    -2.528767501987350e+06,     0.000000000000000e+00,     2.528767501987350e+06
       166,    -2.572998862755906e+06,     0.000000000000000e+00,     2.572998862755906e+06
       167,    -2.485179580387689e+06,     0.000000000000000e+00,     2.485179580387689e+06
       168,    -2.399904048458396e+06,     0.000000000000000e+00,     2.399904048458396e+06
       169,    -2.442227580537407e+06,     0.000000000000000e+00,     2.442227580537407e+06
       170,    -2.358201593339550e+06,     0.000000000000000e+00,     2.358201593339550e+06
       171,    -2.317112887259244e+06,     0.000000000000000e+00,     2.317112887259244e+06
       172,    -2.276630664906119e+06,     0.000000000000000e+00,     2.276630664906119e+06
       173,    -2.236747723301791e+06,     0.000000000000000e+00,     2.236747723301791e+06
       174,    -2.158751180413434e+06,     0.000000000000000e+00,     2.158751180413434e+06
       175,    -2.197456921521778e+06,     0.000000000000000e+00,     2.197456921521778e+06
       176,    -2.120623482314994e+06,     0.000000000000000e+00,     2.120623482314994e+06
       177,    -2.046074450267724e+06,     0.000000000000000e+00,     2.046074450267724e+06
       178,    -2.083066870774840e+06,     0.000000000000000e+00,     2.083066870774840e+06
       179,    -2.009639385909626e+06,     0.000000000000000e+00,     2.009639385909626e+06
       180,    -1.973754903175130e+06,     0.000000000000000e+00,     1.973754903175130e+06
       181,    -1.938414287612132e+06,     0.000000000000000e+00,     1.938414287612132e+06
       182,    -1.903610884553808e+06,     0.000000000000000e+00,     1.903610884553808e+06
       183,    -1.869338098832659e+06,     0.000000000000000e+00,     1.869338098832659e+06
       184,    -1.835589394494451e+06,     0.000000000000000e+00,     1.835589394494451e+06
       185,    -1.802358295240584e+06,     0.000000000000000e+00,     1.802358295240584e+06
       186,    -1.769638381209063e+06,     0.000000000000000e+00,     1.769638381209063e+06
       187,    -1.737423293081146e+06,     0.000000000000000e+00,     1.737423293081146e+06
       188,    -1.705706729787117e+06,     0.000000000000000e+00,     1.705706729787117e+06
       189,    -1.643744253613416e+06,     0.000000000000000e+00,     1.643744253613416e+06
       190,    -1.674482445242683e+06,     0.000000000000000e+00,     1.674482445242683e+06
       191,    -1.613486025320697e+06,     0.000000000000000e+00,     1.613486025320697e+06
       192,    -1.554385224570497e+06,     0.000000000000000e+00,     1.554385224570497e+06
       193,    -1.583701687672644e+06,     0.000000000000000e+00,     1.583701687672644e+06
       194,    -1.525530676217088e+06,     0.000000000000000e+00,     1.525530676217088e+06
       195,    -1.469183764298934e+06,     0.000000000000000e+00,     1.469183764298934e+06
       196,    -1.497132138820790e+06,     0.000000000000000e+00,     1.497132138820790e+06
       197,    -1.441679759984289e+06,     0.000000000000000e+00,     1.441679759984289e+06
       198,    -1.414614388329443e+06,     0.000000000000000e+00,     1.414614388329443e+06
       199,    -1.387981966607738e+06,     0.000000000000000e+00,     1.387981966607738e+06
       200,    -1.361776866617030e+06,     0.000000000000000e+00,     1.361776866617030e+06
       201,    -1.335993514384548e+06,     0.000000000000000e+00,     1.335993514384548e+06
       202,    -1.310626389866680e+06,     0.000000000000000e+00,     1.310626389866680e+06
       203,    -1.285670026649746e+06,     0.000000000000000e+00,     1.285670026649746e+06
       204,    -1.261119011653876e+06,     0.000000000000000e+00,     1.261119011653876e+06
       205,    -1.236967984833650e+06,     0.000000000000000e+00,     1.236967984833650e+06
       206,    -1.189844718900175e+06,     0.000000000000000e+00,     1.189844718900175e+06
       207,    -1.213211638875552e+06,     0.000000000000000e+00,     1.213211638875552e+06
       208,    -1.166862022163342e+06,     0.000000000000000e+00,     1.166862022163342e+06
       209,    -1.122028746286737e+06,     0.000000000000000e+00,     1.122028746286737e+06
       210,    -1.144258397752810e+06,     0.000000000000000e+00,     1.144258397752810e+06
       211,    -1.100168019615810e+06,     0.000000000000000e+00,     1.100168019615810e+06
       212,    -1.057533402404744e+06,     0.000000000000000e+00,     1.057533402404744e+06
       213,    -1.078671220519996e+06,     0.000000000000000e+00,     1.078671220519996e+06
       214,    -1.036749669001406e+06,     0.000000000000000e+00,     1.036749669001406e+06
       215,    -1.016315174066484e+06,     0.000000000000000e+00,     1.016315174066484e+06
       216,    -9.962251210754757e+05,     0.000000000000000e+00,     9.962251210754757e+05
       217,    -9.764747629215085e+05,     0.000000000000000e+00,     9.764747629215085e+05
       218,    -9.570594016154784e+05,     0.000000000000000e+00,     9.570594016154784e+05
       219,    -9.379743879805334e+05,     0.000000000000000e+00,     9.379743879805334e+05
       220,    -9.192151213472098e+05,     0.000000000000000e+00,     9.192151213472098e+05
       221,    -9.007770492537180e+05,     0.000000000000000e+00,     9.007770492537180e+05
       222,    -8.648465180522803e+05,     0.000000000000000e+00,     8.648465180522803e+05
       223,    -8.826556671424013e+05,     0.000000000000000e+00,     8.826556671424013e+05
       224,    -8.473451923178970e+05,     0.000000000000000e+00,     8.473451923178970e+05
       225,    -8.132486069183243e+05,     0.000000000000000e+00,     8.132486069183243e+05
       226,    -8.301473272679521e+05,     0.000000000000000e+00,     8.301473272679521e+05
       227,    -7.966447616672239e+05,     0.000000000000000e+00,     7.966447616672239e+05
       228,    -7.643048481656066e+05,     0.000000000000000e+00,     7.643048481656066e+05
       229,    -7.803315679964374e+05,     0.000000000000000e+00,     7.803315679964374e+05
       230,    -7.485604699057497e+05,     0.000000000000000e+00,     7.485604699057497e+05
       231,    -7.179024345764315e+05,     0.000000000000000e+00,     7.179024345764315e+05
       232,    -7.330943461188131e+05,     0.000000000000000e+00,     7.330943461188131e+05
